,City ID,City Name,Longitude,Latitude,Cloudiness,Temp,Humidity,Wind Speed,Country,Date,Max Temp
339,1791779,Wanning,110.3967,18.8003,86,80.6,87,5.86,CN,1659477033,80.6
340,204953,Tshikapa,20.8,-6.4167,100,84.13,37,3.27,CD,1659477033,84.13
341,3838874,Río Cuarto,-64.3499,-33.1307,0,66.54,40,12.66,AR,1659477033,67.77
342,4993125,Forest Hills,-85.4898,42.9595,20,84.02,52,3.44,US,1659477034,87.3
343,2137773,Vao,167.4833,-22.6667,74,73.2,85,10.54,NC,1659477034,73.2
344,1106643,Quatre Cocos,57.7625,-20.2078,0,66.09,66,10.27,MU,1659477034,68.11
345,3361934,Saldanha,17.9442,-33.0117,25,55.45,91,8.3,ZA,1659477035,55.45
346,2654970,Brae,-1.353,60.3964,99,56.73,92,22.48,GB,1659477035,56.73
347,2109701,Auki,160.7034,-8.7676,19,82.24,73,5.97,SB,1659477036,82.24
348,86049,Jalu,21.5482,29.0331,0,81.61,52,16.93,LY,1659477036,81.61
349,2512186,Puerto del Rosario,-13.8627,28.5004,20,78.55,61,12.66,ES,1659477036,78.55
350,2396518,Port-Gentil,8.7815,-0.7193,40,75.16,83,8.05,GA,1659477036,75.16
351,2179825,Waitati,170.5667,-45.75,6,55.8,41,5.79,NZ,1659477037,55.8
352,673506,Meteş,23.4167,46.1,31,64.49,64,3.09,RO,1659477037,64.49
353,2980080,Saint-François,3.9054,46.4154,0,71.04,64,2.3,FR,1659477015,71.04
354,3985710,Cabo San Lucas,-109.9124,22.8909,20,91.71,55,8.05,MX,1659476808,91.71
355,3175096,Laas,10.7002,46.6166,65,67.15,84,1.12,IT,1659477038,68.88
356,1244926,Hambantota,81.1185,6.1241,75,77.34,94,10.36,LK,1659477038,77.34
357,4131116,Siloam Springs,-94.5405,36.1881,20,95.74,46,11.5,US,1659476298,98.42
358,3448903,São João da Barra,-41.0511,-21.6403,57,75.29,86,12.17,BR,1659476952,75.29
359,1645528,Denpasar,115.2167,-8.65,40,76.71,100,3.44,ID,1659476832,76.71
360,2090021,Namatanai,152.4333,-3.6667,28,82.11,71,9.8,PG,1659477039,82.11
361,2037252,Genhe,121.5167,50.7833,10,63.25,81,1.34,CN,1659477039,63.25
362,3136023,Storsteinnes,19.2344,69.2408,100,52.45,94,2.24,NO,1659477039,52.45
363,3402429,Caucaia,-38.6531,-3.7361,40,80.04,76,13.8,BR,1659477040,80.55
364,4589446,North Myrtle Beach,-78.68,33.816,0,87.87,81,12.66,US,1659476905,96.03
365,3448455,São Miguel do Araguaia,-50.1628,-13.275,7,82.06,27,3.31,BR,1659477040,82.06
366,3608828,Iralaya,-83.2333,15.0,100,82.24,85,14.0,HN,1659476898,82.24
367,609924,Emba,58.1442,48.8264,84,69.58,59,8.23,KZ,1659477041,69.58
368,5044290,Saint Anthony,-93.218,45.0205,0,94.26,51,23.02,US,1659477041,96.58
369,485660,Tsimmerbude,20.1347,54.675,100,50.05,71,5.21,RU,1659477041,50.05
370,2071860,Esperance,121.9,-33.8667,31,48.04,65,31.52,AU,1659477042,48.04
371,3697441,El Alto,-81.2147,-4.2714,15,69.46,74,21.59,PE,1659477042,69.46
372,1513491,Yangi Marg`ilon,71.7189,40.4272,80,74.12,49,2.3,UZ,1659477042,74.12
373,2015179,Tommot,126.2925,58.9564,89,64.98,90,1.16,RU,1659477043,64.98
374,3074166,Jince,13.9787,49.7862,82,66.54,72,4.52,CZ,1659477043,71.26
375,1863495,Gushikawa,127.8686,26.3544,0,78.6,93,4.61,JP,1659477043,81.63
376,2122493,Omsukchan,155.8,62.5333,100,53.06,86,8.7,RU,1659477044,53.06
377,3671450,Inírida,-67.9239,3.8653,100,74.84,94,1.23,CO,1659477044,74.84
378,3388456,São José da Coroa Grande,-35.1478,-8.8978,74,75.09,90,7.23,BR,1659477044,75.09
379,2236967,Soyo,12.3689,-6.1349,20,68.9,88,12.44,AO,1659477045,68.9
380,2449893,Tessalit,1.0114,20.1986,100,81.32,51,23.55,ML,1659476983,81.32
381,1267390,Kavaratti,72.642,10.5669,100,77.94,86,27.83,IN,1659477045,77.94
382,665377,Tazlău,26.4667,46.7167,1,60.98,63,5.39,RO,1659477045,63.1
383,1633419,Padang,100.3543,-0.9492,100,75.54,93,4.41,ID,1659477046,75.54
384,2303611,Esim,-2.2405,4.8699,38,73.27,79,7.38,GH,1659477046,73.27
385,2063056,Port Augusta,137.7667,-32.5,58,53.89,86,10.56,AU,1659477046,53.89
386,1274735,Chandla,80.2,25.0833,100,85.68,66,3.71,IN,1659477047,85.68
387,1633442,Paciran,112.3761,-6.8767,58,76.28,88,7.0,ID,1659477047,76.28
388,2120591,Tilichiki,166.1,60.4667,77,55.81,77,2.55,RU,1659477047,55.81
389,299817,Tarsus,34.8784,36.9188,0,82.27,84,2.73,TR,1659477048,82.78
390,372884,Kapoeta,33.5903,4.7717,86,69.84,77,4.41,SS,1659477048,69.84
391,1337605,Mahibadhoo,72.9667,3.7833,100,82.02,73,20.71,MV,1659477049,82.02
392,2018735,Nyurba,118.3319,63.2842,91,59.97,74,7.61,RU,1659477049,59.97
393,3388760,São Geraldo do Araguaia,-48.555,-6.4006,84,86.9,30,1.81,BR,1659477049,86.9
394,3870282,Talcahuano,-73.1167,-36.7167,0,50.36,73,7.63,CL,1659477049,50.36
395,1805857,Jieshi,115.8257,22.8134,100,80.83,82,3.87,CN,1659477050,80.83
396,4231997,Avera,-82.5271,33.194,67,93.81,31,8.1,US,1659477050,94.55
397,2297810,Mumford,-0.759,5.2618,16,72.27,85,9.46,GH,1659477050,72.27
398,780687,Berlevåg,29.0864,70.8578,92,62.4,89,3.49,NO,1659477051,62.4
399,2094746,Kandrian,149.55,-6.2167,78,80.74,82,8.59,PG,1659477051,80.74
400,1275601,Biloli,77.7333,18.7667,100,77.68,86,5.5,IN,1659477052,77.68
401,2235194,Ombessa,11.2565,4.603,92,67.87,97,5.73,CM,1659477052,67.87
402,1277263,Banmankhi,87.1833,25.8833,99,79.45,88,3.83,IN,1659477052,79.45
403,3351500,Caála,15.5606,-12.8525,88,57.65,35,3.4,AO,1659477053,57.65
404,750938,Bayburt,40.2278,40.2589,6,59.38,89,1.92,TR,1659477053,59.38
405,5533366,West Odessa,-102.4988,31.8424,0,97.54,26,15.61,US,1659477053,99.41
406,3414079,Olafsvik,-23.7142,64.8945,48,48.9,67,8.93,IS,1659477054,48.9
407,6171633,Ucluelet,-125.5528,48.9329,97,61.09,87,3.38,CA,1659477054,61.09
408,2297505,Navrongo,-1.0921,10.8956,100,75.11,87,5.14,GH,1659477055,75.11
409,1737714,Limbang,115.0,4.75,100,77.05,98,2.21,MY,1659476936,77.11
410,2016910,Severobaykal'sk,109.3167,55.65,100,50.81,100,1.34,RU,1659477055,50.81
411,3572924,Alice Town,-79.3,25.7167,55,83.73,67,10.25,BS,1659477055,83.73
412,3453060,Pontes e Lacerda,-59.3353,-15.2261,51,83.98,30,1.54,BR,1659476800,83.98
